# https://astro.kasi.re.kr/life/post/calendarData

2004
입추	8	8	4	13
처서	8	23	19	2
백로	9	8	7	17
추분	9	23	16	50
한로	10	8	23	6
상강	10	24	2	20
입동	11	8	2	24
소설	11	22	23	59
대설	12	7	19	18
동지	12	12	13	19

2020
소한	1	5	12	23
대한	1	20	5	39
입춘	2	4	18	30
우수	2	19	13	57
경칩	3	5	11	56
춘분	3	20	12	50
청명	4	4	16	38
곡우	4	19	23	45
입하	5	5	9	51
소만	5	20	22	49
망종	6	5	13	58
하지	6	21	6	43
소서	7	7	0	14
대서	7	22	17	36
입추	8	7	10	6
처서	8	23	0	45
백로	9	7	13	8
추분	9	22	22	30
한로	10	8	4	55
상강	10	23	7	59
입동	11	7	8	13
소설	11	22	5	39
대설	12	7	1	9
동지	12	21	19	23

2021
소한	01	05	12	23
대한	01	20	05	40
입춘	02	03	23	59
우수	02	18	19	44
경칩	03	05	17	54
춘분	03	20	18	37
청명	04	04	22	35
곡우	04	20	05	33
입하	05	05	15	47
소만	05	21	04	37
망종	06	05	19	52
하지	06	21	12	32
소서	07	07	06	05
대서	07	22	23	26
입추	08	07	15	54
처서	08	23	06	35
백로	09	07	18	53
추분	09	23	04	21
한로	10	08	10	39
상강	10	23	13	51
입동	11	07	13	59
소설	11	22	11	34
대설	12	07	06	57
동지	12	22	00	59

2022
소한	1	5	12	23
대한	1	20	5	40
입춘	2	3	23	59
우수	2	18	19	44
경칩	3	5	17	54
춘분	3	20	18	37
청명	4	4	22	35
곡우	4	20	5	33
입하	5	5	15	47
소만	5	21	4	37
망종	6	5	19	52
하지	6	21	12	32
소서	7	7	6	5
대서	7	22	23	26
입추	8	7	15	54
처서	8	23	6	35
백로	9	7	18	53
추분	9	23	4	21
한로	10	8	10	39
상강	10	23	13	51
입동	11	7	13	59
소설	11	22	11	34
대설	12	7	6	57
동지	12	22	0	59

2023
소한	1	6	0	5
대한	1	20	17	30
입춘	2	4	11	43
우수	2	19	7	34
경칩	3	6	5	36
춘분	3	21	6	24
청명	4	5	10	13
곡우	4	20	17	14
입하	5	6	3	19
소만	5	21	16	9
망종	6	6	7	18
하지	6	21	23	58
소서	7	7	17	31
대서	7	23	10	50
입추	8	8	3	23
처서	8	23	18	1
백로	9	8	6	27
추분	9	23	15	50
한로	10	8	22	16
상강	10	24	1	21
입동	11	8	1	36
소설	11	22	23	3
대설	12	7	18	33
동지	12	22	12	27

2024
소한	1	6	5	49
대한	1	20	23	7
입춘	2	4	17	27
우수	2	19	13	13
경칩	3	5	11	23
춘분	3	20	12	6
청명	4	4	16	2
곡우	4	19	23	0
입하	5	5	9	10
소만	5	20	22	0
망종	6	5	13	10
하지	6	21	5	51
소서	7	6	23	20
대서	7	22	16	44
입추	8	7	9	9
처서	8	22	23	55
백로	9	7	12	11
추분	9	22	21	44
한로	10	8	4	0
상강	10	23	7	15
입동	11	7	7	20
소설	11	22	4	56
대설	12	7	0	17
동지	12	21	18	21

2025
소한	1	5	11	33
대한	1	20	5	0
입춘	2	3	23	10
우수	2	18	19	7
경칩	3	5	17	7
춘분	3	20	18	1
청명	4	4	21	49
곡우	4	20	4	56
입하	5	5	14	57
소만	5	21	3	55
망종	6	5	18	57
하지	6	21	11	42
소서	7	7	5	5
대서	7	22	22	29
입추	8	7	14	52
처서	8	23	5	34
백로	9	7	17	52
추분	9	23	3	19
한로	10	8	9	41
상강	10	23	12	51
입동	11	7	13	4
소설	11	22	10	36
대설	12	7	6	5
동지	12	22	0	3

2026
소한	1	5	17	23
대한	1	20	10	45
입춘	2	4	5	2
우수	2	19	0	52
경칩	3	5	22	59
춘분	3	20	23	46
청명	4	5	3	40
곡우	4	20	10	39
입하	5	5	20	49
소만	5	21	9	37
망종	6	6	0	48
하지	6	21	17	25
소서	7	7	10	57
대서	7	23	4	13
입추	8	7	20	43
처서	8	23	11	19
백로	9	7	23	41
추분	9	23	9	5
한로	10	8	15	29
상강	10	23	18	38
입동	11	7	18	52
소설	11	22	16	23
대설	12	7	11	53
동지	12	22	5	50
